AGAP000473	AGAP000473-RA
AGAP000474	AGAP000474-RA
AGAP000475	AGAP000475-RA
AGAP000475	AGAP000475-RB
AGAP000476	AGAP000476-RA
AGAP000477	AGAP000477-RA
AGAP000478	AGAP000478-RA
AGAP000479	AGAP000479-RA
AGAP000480	AGAP000480-RA
AGAP000481	AGAP000481-RA
AGAP000482	AGAP000482-RA
AGAP000483	AGAP000483-RA
AGAP000484	AGAP000484-RA
AGAP000485	AGAP000485-RA
AGAP000486	AGAP000486-RA
AGAP000487	AGAP000487-RA
AGAP000488	AGAP000488-RA
AGAP000489	AGAP000489-RA
AGAP000490	AGAP000490-RA
AGAP000491	AGAP000491-RA
AGAP000492	AGAP000492-RA
AGAP000493	AGAP000493-RA
AGAP000494	AGAP000494-RB
AGAP000494	AGAP000494-RA
AGAP000495	AGAP000495-RA
AGAP000496	AGAP000496-RA
AGAP000497	AGAP000497-RA
AGAP000498	AGAP000498-RA
AGAP000499	AGAP000499-RA
AGAP000500	AGAP000500-RA
AGAP000501	AGAP000501-RA
AGAP000502	AGAP000502-RA
AGAP000503	AGAP000503-RA
AGAP000504	AGAP000504-RA
AGAP000505	AGAP000505-RA
AGAP000506	AGAP000506-RA
AGAP000507	AGAP000507-RA
AGAP000508	AGAP000508-RA
AGAP000509	AGAP000509-RA
AGAP000510	AGAP000510-RA
AGAP000511	AGAP000511-RA
AGAP000512	AGAP000512-RA
AGAP000513	AGAP000513-RA
AGAP000514	AGAP000514-RA
AGAP000515	AGAP000515-RA
AGAP000516	AGAP000516-RA
AGAP000517	AGAP000517-RA
AGAP000518	AGAP000518-RA
AGAP000519	AGAP000519-RA
AGAP000520	AGAP000520-RA
AGAP000521	AGAP000521-RA
AGAP000522	AGAP000522-RA
AGAP000523	AGAP000523-RA
AGAP000524	AGAP000524-RA
AGAP000525	AGAP000525-RA
AGAP000526	AGAP000526-RA
AGAP000527	AGAP000527-RA
AGAP000528	AGAP000528-RA
AGAP000529	AGAP000529-RA
AGAP000530	AGAP000530-RA
AGAP000531	AGAP000531-RA
AGAP000532	AGAP000532-RA
AGAP000533	AGAP000533-RA
AGAP000534	AGAP000534-RA
AGAP000535	AGAP000535-RA
AGAP000536	AGAP000536-RA
AGAP000537	AGAP000537-RA
AGAP000538	AGAP000538-RA
AGAP000539	AGAP000539-RA
AGAP000540	AGAP000540-RA
AGAP000541	AGAP000541-RA
AGAP000543	AGAP000543-RA
AGAP000544	AGAP000544-RA
AGAP000545	AGAP000545-RA
AGAP000546	AGAP000546-RA
AGAP000547	AGAP000547-RA
AGAP000548	AGAP000548-RA
AGAP000549	AGAP000549-RA
AGAP000550	AGAP000550-RA
AGAP000551	AGAP000551-RA
AGAP000552	AGAP000552-RA
AGAP000553	AGAP000553-RA
AGAP000554	AGAP000554-RA
AGAP000555	AGAP000555-RA
AGAP000556	AGAP000556-RA
AGAP000557	AGAP000557-RA
AGAP000558	AGAP000558-RB
AGAP000558	AGAP000558-RA
AGAP000559	AGAP000559-RA
AGAP000560	AGAP000560-RA
AGAP000561	AGAP000561-RA
AGAP000562	AGAP000562-RA
AGAP000563	AGAP000563-RA
AGAP000564	AGAP000564-RA
AGAP000565	AGAP000565-RA
AGAP000565	AGAP000565-RB
AGAP000566	AGAP000566-RA
AGAP000567	AGAP000567-RA
AGAP000568	AGAP000568-RA
AGAP000569	AGAP000569-RA
AGAP000570	AGAP000570-RA
AGAP000571	AGAP000571-RA
AGAP000572	AGAP000572-RA
AGAP000573	AGAP000573-RA
AGAP000574	AGAP000574-RA
AGAP000575	AGAP000575-RA
AGAP000576	AGAP000576-RA
AGAP000577	AGAP000577-RA
AGAP000578	AGAP000578-RA
AGAP000579	AGAP000579-RA
AGAP000580	AGAP000580-RA
AGAP000581	AGAP000581-RA
AGAP000582	AGAP000582-RA
AGAP000583	AGAP000583-RA
AGAP000584	AGAP000584-RA
AGAP000585	AGAP000585-RA
AGAP000586	AGAP000586-RA
AGAP000587	AGAP000587-RA
AGAP000588	AGAP000588-RA
AGAP000589	AGAP000589-RA
AGAP000590	AGAP000590-RA
AGAP000591	AGAP000591-RA
AGAP000592	AGAP000592-RA
AGAP000593	AGAP000593-RA
AGAP000594	AGAP000594-RA
AGAP000595	AGAP000595-RA
AGAP000596	AGAP000596-RA
AGAP000597	AGAP000597-RA
AGAP000598	AGAP000598-RA
AGAP000599	AGAP000599-RA
AGAP000600	AGAP000600-RA
AGAP000601	AGAP000601-RA
AGAP000602	AGAP000602-RA
AGAP000603	AGAP000603-RA
AGAP000604	AGAP000604-RA
AGAP000605	AGAP000605-RA
AGAP000606	AGAP000606-RA
AGAP000607	AGAP000607-RA
AGAP000608	AGAP000608-RA
AGAP000609	AGAP000609-RA
AGAP000610	AGAP000610-RA
AGAP000611	AGAP000611-RA
AGAP000612	AGAP000612-RA
AGAP000613	AGAP000613-RA
AGAP000614	AGAP000614-RA
AGAP000615	AGAP000615-RA
AGAP000616	AGAP000616-RA
AGAP000617	AGAP000617-RA
AGAP000618	AGAP000618-RA
AGAP000619	AGAP000619-RA
AGAP000620	AGAP000620-RA
AGAP000621	AGAP000621-RA
AGAP000622	AGAP000622-RA
AGAP000623	AGAP000623-RA
AGAP000624	AGAP000624-RA
AGAP000625	AGAP000625-RA
AGAP000626	AGAP000626-RA
AGAP000627	AGAP000627-RA
AGAP000627	AGAP000627-RC
AGAP000627	AGAP000627-RB
